唯一編碼,來源系統,來源系統縮寫,文件原系統頁面URL,題名,檔案類型,書卷名,類目階層,原始時間記錄,西元年,起始時間,結束時間,相關人員,相關組織,關鍵詞,摘要/全文,,機場標籤,會議主席,提案議員,相關議員,機關,相關機關
AHTWH-238-004-11694,國史館臺灣文獻館典藏管理系統,AHTWH,,出入機場照相機處理辦法案（0039/071/109/1）,卷,,臺灣省級機關,~,~,9999-00-00,9999-00-00,,,,出入機場照相機處理辦法案（0039/071/109/1）,,出入機場,,,,,
AHTWH-238-40710011694001,國史館臺灣文獻館典藏管理系統,AHTWH,,准電規定出入機場照相機處理辦法轉希知照由,件,,臺灣省級機關/,1950-10-19~1950-10-31,1950,1950-10-19,1950-10-31,,,,准電規定出入機場照相機處理辦法轉希知照由,,出入機場,,,,,
AHTWH-238-40710011694002,國史館臺灣文獻館典藏管理系統,AHTWH,,為准保安司令部代電關於照相機處理及機場攝影案電請查照由,件,,臺灣省級機關/,1950-11-17~1950-11-30,1950,1950-11-17,1950-11-30,,,,為准保安司令部代電關於照相機處理及機場攝影案電請查照由,,理及機場,,,,,
AHTWH-238-44843013117002,國史館臺灣文獻館典藏管理系統,AHTWH,,電請查示空車總司令部、第五大隊發包修理桃園機場第八號營房等四項工程詳請由,件,,臺灣省級機關/,1950-04-06~1950-04-30,1950,1950-04-06,1950-04-30,,,,電請查示空車總司令部、第五大隊發包修理桃園機場第八號營房等四項工程詳請由,,桃園機場,,,,,
AHTWH-238-004-16224,國史館臺灣文獻館典藏管理系統,AHTWH,,民用航空局在高雄港開闢水上機場（0040/423.2/1/1）,卷,,臺灣省級機關,~,~,9999-00-00,9999-00-00,,,,民用航空局在高雄港開闢水上機場（0040/423.2/1/1）,,水上機場,,,,,
AHTWH-238-44232016224001,國史館臺灣文獻館典藏管理系統,AHTWH,,高雄港水上機場位置圖檢發案,件,,臺灣省級機關/,1951-03-02~1951-03-31,1951,1951-03-02,1951-03-31,,,,高雄港水上機場位置圖檢發案,,水上機場,,,,,
AHTWH-238-44232016224002,國史館臺灣文獻館典藏管理系統,AHTWH,,轉呈高雄港務局查報設置水上機場情形案,件,,臺灣省級機關/,1951-03-21~1951-03-31,1951,1951-03-21,1951-03-31,,,,轉呈高雄港務局查報設置水上機場情形案,,水上機場,,,,,
AHTWH-238-44232016224003,國史館臺灣文獻館典藏管理系統,AHTWH,,高雄港務局建議水上機場位置移動案,件,,臺灣省級機關/,1951-04-09~1951-04-30,1951,1951-04-09,1951-04-30,,,,高雄港務局建議水上機場位置移動案,,水上機場,,,,,
AHTWH-238-44232016224004,國史館臺灣文獻館典藏管理系統,AHTWH,,交通處轉請民航局復興公司提出牡蠣損失具體救濟辦法案,件,,臺灣省級機關/,1951-06-11~1951-06-30,1951,1951-06-11,1951-06-30,,,,交通處轉請民航局復興公司提出牡蠣損失具體救濟辦法案,,#VALUE!,,,,,
AHTWH-238-44232016224005,國史館臺灣文獻館典藏管理系統,AHTWH,,高雄市政府轉飭民航局迅即提出水上機場區域內漁民養殖業損失救濟辦法案,件,,臺灣省級機關/,1951-06-14~1951-06-30,1951,1951-06-14,1951-06-30,,,,高雄市政府轉飭民航局迅即提出水上機場區域內漁民養殖業損失救濟辦法案,,水上機場,,,,,
AHTWH-238-44232016224006,國史館臺灣文獻館典藏管理系統,AHTWH,,高雄市政府轉飭民航局迅即提出水上機場區域內漁民養殖業損失救濟辦法案,件,,臺灣省級機關/,1951-06-18~1951-06-30,1951,1951-06-18,1951-06-30,,,,高雄市政府轉飭民航局迅即提出水上機場區域內漁民養殖業損失救濟辦法案,,水上機場,,,,,
AHTWH-238-44232016224007,國史館臺灣文獻館典藏管理系統,AHTWH,,民航局高雄水上機場開放公告案,件,,臺灣省級機關/,1951-07-16~1951-07-31,1951,1951-07-16,1951-07-31,,,,民航局高雄水上機場開放公告案,,水上機場,,,,,
AHTWH-238-004-19121,國史館臺灣文獻館典藏管理系統,AHTWH,,飛機輪船因故迫停機場港口之旅客處理（0041/076.2/30/1）,卷,,臺灣省級機關,~,~,9999-00-00,9999-00-00,,,,飛機輪船因故迫停機場港口之旅客處理（0041/076.2/30/1）,,迫停機場,,,,,
AHTWH-238-40762019121001,國史館臺灣文獻館典藏管理系統,AHTWH,,為囑簽國際間之飛機及輪船被迫降在本省機場或停泊港口之過境旅客處理辦法一案省府交通處認為確有訂定辦法必要惟是否涉及國際公法及外交關係應請外交部核簽復請查照,件,,臺灣省級機關/,1952-10-21~1952-10-31,1952,1952-10-21,1952-10-31,,,,為囑簽國際間之飛機及輪船被迫降在本省機場或停泊港口之過境旅客處理辦法一案省府交通處認為確有訂定辦法必要惟是否涉及國際公法及外交關係應請外交部核簽復請查照,,本省機場,,,,,
AHTWH-238-40762019121002,國史館臺灣文獻館典藏管理系統,AHTWH,,密不錄由,件,,臺灣省級機關/,1953-01-08~1953-01-31,1953,1953-01-08,1953-01-31,,,,密不錄由,,#VALUE!,,,,,
AHTWH-238-40767025325001,國史館臺灣文獻館典藏管理系統,AHTWH,,為適應松山機場空運動植物檢疫工作擬暫照臺灣省進出口家畜檢疫規則暨本省植物輸出輸入取締規則執行請層轉省府核備,件,,臺灣省級機關/,1954-07-29~1954-07-31,1954,1954-07-29,1954-07-31,,,,為適應松山機場空運動植物檢疫工作擬暫照臺灣省進出口家畜檢疫規則暨本省植物輸出輸入取締規則執行請層轉省府核備,,松山機場,,,,,
AHTWH-238-41270025428011,國史館臺灣文獻館典藏管理系統,AHTWH,,臺南機場檢驗組遷讓借用忠烈祠廂房案,件,,臺灣省級機關/,1954-06-02~1954-06-30,1954,1954-06-02,1954-06-30,,,,臺南機場檢驗組遷讓借用忠烈祠廂房案,,臺南機場,,,,,
AHTWH-238-41270025429001,國史館臺灣文獻館典藏管理系統,AHTWH,,為臺南機場檢驗組遷讓借用忠烈祠廂房案電請查照辦理見復,件,,臺灣省級機關/,1954-10-04~1954-10-31,1954,1954-10-04,1954-10-31,,,,為臺南機場檢驗組遷讓借用忠烈祠廂房案電請查照辦理見復,,臺南機場,,,,,
AHTWH-238-41270025432007,國史館臺灣文獻館典藏管理系統,AHTWH,,為臺灣省保安司令部臺南機場檢驗組呈請繼續借用臺南市忠烈祠廂房案轉電查照由,件,,臺灣省級機關/,1954-04-26~1954-04-30,1954,1954-04-26,1954-04-30,,,,為臺灣省保安司令部臺南機場檢驗組呈請繼續借用臺南市忠烈祠廂房案轉電查照由,,臺南機場,,,,,
AHTWH-238-004-25716,國史館臺灣文獻館典藏管理系統,AHTWH,,松山機場支線購地案（0043/151/20/1）,卷,,臺灣省級機關,~,~,9999-00-00,9999-00-00,,,,松山機場支線購地案（0043/151/20/1）,,松山機場,,,,,
AHTWH-238-41510025716001,國史館臺灣文獻館典藏管理系統,AHTWH,,據呈為松山飛機場支線購地需款377109元4角鐵路管理局無是項預算如何之處請核示一案復希知照,件,,臺灣省級機關/,1954-02-18~1954-02-28,1954,1954-02-18,1954-02-28,,,,據呈為松山飛機場支線購地需款377109元4角鐵路管理局無是項預算如何之處請核示一案復希知照,,山飛機場,,,,,
AHTWH-238-41551025740005,國史館臺灣文獻館典藏管理系統,AHTWH,,為松山飛機場支線購地經費案未准列入本局四十四年度預算內應如何處理復請鑒核,件,,臺灣省級機關/,1954-11-19~1954-11-30,1954,1954-11-19,1954-11-30,,,,為松山飛機場支線購地經費案未准列入本局四十四年度預算內應如何處理復請鑒核,,山飛機場,,,,,
AHTWH-238-40710026839004,國史館臺灣文獻館典藏管理系統,AHTWH,,檢發台北國際機場過境乘客過夜管理辦法,件,,臺灣省級機關/,1957-12-26~1957-12-31,1957,1957-12-26,1957-12-31,,,,檢發台北國際機場過境乘客過夜管理辦法,,國際機場,,,,,
AHTWH-238-004-27370,國史館臺灣文獻館典藏管理系統,AHTWH,,國際機場及基高兩港出入國境查驗站編組辦法（0050/078/6015/1）,卷,,臺灣省級機關,~,~,9999-00-00,9999-00-00,,,,國際機場及基高兩港出入國境查驗站編組辦法（0050/078/6015/1）,,國際機場,,,,,
AHTWH-238-40780027370001,國史館臺灣文獻館典藏管理系統,AHTWH,,為核定臺北國際機場暨基高兩港出入國境證照查驗站編組辦法令仰遵照,件,,臺灣省級機關/,1961-01-09~1961-01-31,1961,1961-01-09,1961-01-31,,,,為核定臺北國際機場暨基高兩港出入國境證照查驗站編組辦法令仰遵照,,國際機場,,,,,
AHTWH-238-40780027370002,國史館臺灣文獻館典藏管理系統,AHTWH,,該站所呈高雄港出入國境證照查驗站船舶警衛勤務實施辦法准予修正備查,件,,臺灣省級機關/,1962-05-16~1962-05-31,1962,1962-05-16,1962-05-31,,,,該站所呈高雄港出入國境證照查驗站船舶警衛勤務實施辦法准予修正備查,,#VALUE!,,,,,
AHTWH-238-40780027370003,國史館臺灣文獻館典藏管理系統,AHTWH,,檢呈國際港發機場檢查管制工作作業規定一種,件,,臺灣省級機關/,1962-10-15~1962-10-31,1962,1962-10-15,1962-10-31,,,,檢呈國際港發機場檢查管制工作作業規定一種,,港發機場,,,,,
AHTWH-238-40230028173004,國史館臺灣文獻館典藏管理系統,AHTWH,,奉交貴局呈送臺北機場動植物檢疫站分層負責區分表,件,,臺灣省級機關/,1967-04-19~1967-04-30,1967,1967-04-19,1967-04-30,,,,奉交貴局呈送臺北機場動植物檢疫站分層負責區分表,,臺北機場,,,,,
AHTWH-238-501003908,國史館臺灣文獻館典藏管理系統,AHTWH,,地政局編送清理撤廢機場土地經費擬准編列二百八十萬元就公有土地放租檢查費項下追減移用案。,件,,臺灣省政府委員會議/委員會議/民國37年(1948)/會次0039,1948-02-27~1948-02-29,1948,1948-02-27,1948-02-29,,,,地政局編送清理撤廢機場土地經費擬准編列二百八十萬元就公有土地放租檢查費項下追減移用案。,,撤廢機場,,,,,
AHTWH-238-501014704,國史館臺灣文獻館典藏管理系統,AHTWH,,基隆等五港口聯合檢驗處松山、臺南機場聯檢組暨游動查緝組卅九年度五至十二月份經常費預算案。,件,,臺灣省政府委員會議/委員會議/民國39年(1950)/會次0147,1950-04-28~1950-04-30,1950,1950-04-28,1950-04-30,,,,基隆等五港口聯合檢驗處松山、臺南機場聯檢組暨游動查緝組卅九年度五至十二月份經常費預算案。,,臺南機場,,,,,
AHTWH-238-501065607,國史館臺灣文獻館典藏管理系統,AHTWH,,民政廳簽為參加公館機場工程有功縣市長廖五湖等四人獎勵一案，請鈞核案。,件,,臺灣省政府委員會議/委員會議/民國49年(1960)/會次0656,1960-11-08~1960-11-30,1960,1960-11-08,1960-11-30,,,,民政廳簽為參加公館機場工程有功縣市長廖五湖等四人獎勵一案，請鈞核案。,,公館機場,,,,,
AHTWH-238-501074908,國史館臺灣文獻館典藏管理系統,AHTWH,,財政廳簽為警備總部申請撥發蘭嶼機場等工程款及工作獎金一案請提府會討論案。,件,,臺灣省政府委員會議/委員會議/民國51年(1962)/會次0749,1962-10-30~1962-10-31,1962,1962-10-30,1962-10-31,,,,財政廳簽為警備總部申請撥發蘭嶼機場等工程款及工作獎金一案請提府會討論案。,,蘭嶼機場,,,,,
AHTWH-238-501080016,國史館臺灣文獻館典藏管理系統,AHTWH,,財政廳簽為奉交下澎湖縣李代縣長呈請補助新機場至馬公道路工程經費一案，請提府會討論案。,件,,臺灣省政府委員會議/委員會議/民國53年(1964)/會次0800,1964-04-20~1964-04-30,1964,1964-04-20,1964-04-30,,,,財政廳簽為奉交下澎湖縣李代縣長呈請補助新機場至馬公道路工程經費一案，請提府會討論案。,,助新機場,,,,,
AHTWH-238-501080822,國史館臺灣文獻館典藏管理系統,AHTWH,,主計處簽為奉交下衛生處呈為臺北航空檢疫所改修機場旅客留駐所工程及設備費，請准辦理歲入出追加預算一案，請提府會討論案。,件,,臺灣省政府委員會議/委員會議/民國53年(1964)/會次0808,1964-06-29~1964-06-30,1964,1964-06-29,1964-06-30,,,,主計處簽為奉交下衛生處呈為臺北航空檢疫所改修機場旅客留駐所工程及設備費，請准辦理歲入出追加預算一案，請提府會討論案。,,改修機場,,,,,
AHTWH-238-501080824,國史館臺灣文獻館典藏管理系統,AHTWH,,主計處簽為奉交下衛生處呈為臺北航空檢疫所因松山機場奉令改為國際機場後業務增加請准追加預算一案，請提府會討論案。,件,,臺灣省政府委員會議/委員會議/民國53年(1964)/會次0808,1964-06-29~1964-06-30,1964,1964-06-29,1964-06-30,,,,主計處簽為奉交下衛生處呈為臺北航空檢疫所因松山機場奉令改為國際機場後業務增加請准追加預算一案，請提府會討論案。,,松山機場,,,,,
AHTWH-238-501084617,國史館臺灣文獻館典藏管理系統,AHTWH,,主計處簽為警務處呈請追加興建臺北國際機場出入國境證照查驗站及派出所辦公廳舍經費一案請提府會討論案。,件,,臺灣省政府委員會議/委員會議/民國54年(1965)/會次0846,1965-06-14~1965-06-30,1965,1965-06-14,1965-06-30,,,,主計處簽為警務處呈請追加興建臺北國際機場出入國境證照查驗站及派出所辦公廳舍經費一案請提府會討論案。,,國際機場,,,,,
AHTWH-238-501087612,國史館臺灣文獻館典藏管理系統,AHTWH,,財政廳簽為松山機場舊有民航站屋之省方產權無償撥贈國有一案請提府會討論案。,件,,臺灣省政府委員會議/委員會議/民國55年(1966)/會次0876,1966-03-21~1966-03-31,1966,1966-03-21,1966-03-31,,,,財政廳簽為松山機場舊有民航站屋之省方產權無償撥贈國有一案請提府會討論案。,,松山機場,,,,,
AHTWH-238-501098811,國史館臺灣文獻館典藏管理系統,AHTWH,,秘書長徐鼐簽為請將高雄小港機場道路工作計劃協商會議辦理經過情形案。,件,,臺灣省政府委員會議/委員會議/民國57年(1968)/會次0988,1968-10-21~1968-10-31,1968,1968-10-21,1968-10-31,,,,秘書長徐鼐簽為請將高雄小港機場道路工作計劃協商會議辦理經過情形案。,,小港機場,,,,,
AHTWH-238-501098917,國史館臺灣文獻館典藏管理系統,AHTWH,,高雄國際機場道路工程計劃簡報。,件,,臺灣省政府委員會議/委員會議/民國57年(1968)/會次0989,1968-11-04~1968-11-30,1968,1968-11-04,1968-11-30,,,,高雄國際機場道路工程計劃簡報。,,國際機場,,,,,
AHTWH-238-501100227,國史館臺灣文獻館典藏管理系統,AHTWH,,徐鼐秘書長擬簽為高雄國際機場道路計劃有關實施進度及經費等一案請提府會核示案。,件,,臺灣省政府委員會議/委員會議/民國58年(1969)/會次1002,1969-02-24~1969-02-28,1969,1969-02-24,1969-02-28,,,,徐鼐秘書長擬簽為高雄國際機場道路計劃有關實施進度及經費等一案請提府會核示案。,,國際機場,,,,,
AHTWH-238-501100814,國史館臺灣文獻館典藏管理系統,AHTWH,,主計處簽為馬公至機場道路拓寬經費等三案追加預算請提府會討論案。,件,,臺灣省政府委員會議/委員會議/民國58年(1969)/會次1008,1969-04-21~1969-04-30,1969,1969-04-21,1969-04-30,,,,主計處簽為馬公至機場道路拓寬經費等三案追加預算請提府會討論案。,,公至機場,,,,,
AHTWH-238-501109113,國史館臺灣文獻館典藏管理系統,AHTWH,,主計處簽為建設廳呈為公共工程局辦理六十年度鳳山鎮第二號道路新築工程不敷經費500萬元移用高雄國際機場道路工程節餘款支廳一案請提府會討論案。,件,,臺灣省政府委員會議/委員會議/民國60年(1971)/會次1091,1971-02-01~1971-02-28,1971,1971-02-01,1971-02-28,,,,主計處簽為建設廳呈為公共工程局辦理六十年度鳳山鎮第二號道路新築工程不敷經費500萬元移用高雄國際機場道路工程節餘款支廳一案請提府會討論案。,,國際機場,,,,,
AHTWH-238-501112503,國史館臺灣文獻館典藏管理系統,AHTWH,,秘書處抄錄中央重要來文案。,件,,臺灣省政府委員會議/委員會議/民國60年(1971)/會次1125,1971-11-08~1971-11-30,1971,1971-11-08,1971-11-30,,,,秘書處抄錄中央重要來文案。,,#VALUE!,,,,,
AHTWH-238-501129105,國史館臺灣文獻館典藏管理系統,AHTWH,,人事處簽為臺灣航空警察所為維護桃園機場施工安全，擬設置桃園機場警察隊，置警力二十五人案。,件,,臺灣省政府委員會議/委員會議/民國64年(1975)/會次1291,1975-06-16~1975-06-30,1975,1975-06-16,1975-06-30,,,,人事處簽為臺灣航空警察所為維護桃園機場施工安全，擬設置桃園機場警察隊，置警力二十五人案。,,桃園機場,,,,,
AHTWH-238-501158307,國史館臺灣文獻館典藏管理系統,AHTWH,,人事處簽為唐榮鐵工廠股份有限公司為配合實施預算員額制度及業務需要，報請修正該公司暨所屬各廠組織規程一案，提請討論案。,件,,臺灣省政府委員會議/委員會議/民國70年(1981)/會次1583,1981-08-31~1981-08-31,1981,1981-08-31,1981-08-31,,,,人事處簽為唐榮鐵工廠股份有限公司為配合實施預算員額制度及業務需要，報請修正該公司暨所屬各廠組織規程一案，提請討論案。,,#VALUE!,,,,,
AHTWH-238-501160810,國史館臺灣文獻館典藏管理系統,AHTWH,,民政廳簽為地政處函為臺東縣長蔣聖愛擬辦空軍總司令擴建志航、豐年機場用地取得工作，備極辛勞圓滿達成任務，請予敘獎一案，擬予記功一次，提請討論案。,件,,臺灣省政府委員會議/委員會議/民國71年(1982)/會次1608,1982-04-06~1982-04-30,1982,1982-04-06,1982-04-30,,,,民政廳簽為地政處函為臺東縣長蔣聖愛擬辦空軍總司令擴建志航、豐年機場用地取得工作，備極辛勞圓滿達成任務，請予敘獎一案，擬予記功一次，提請討論案。,,豐年機場,,,,,
AHTWH-238-501214904,國史館臺灣文獻館典藏管理系統,AHTWH,,省政府委員&#40644;正雄簽為唐榮公司營建部擬繼續參加交通部民用航空局中正機場二期航站大廈工程投標案，擬准予參加本項工程投標提請討論案。,件,,臺灣省政府委員會議/委員會議/民國82年(1993)/會次2149,1993-08-30~1993-08-31,1993,1993-08-30,1993-08-31,,,,省政府委員&#40644;正雄簽為唐榮公司營建部擬繼續參加交通部民用航空局中正機場二期航站大廈工程投標案，擬准予參加本項工程投標提請討論案。,,中正機場,,,,,
AHTWH-238-502000306,國史館臺灣文獻館典藏管理系統,AHTWH,,黃杰主席：小港機場應否建築案。,件,,臺灣省政府委員會議/首長會議/民國54年(1965)/會次0003,1965-06-14~1965-06-30,1965,1965-06-14,1965-06-30,,,,黃杰主席：小港機場應否建築案。,,小港機場,,,,,
AHTWH-238-502000508,國史館臺灣文獻館典藏管理系統,AHTWH,,黃杰主席：第八案，蘇花公路防礙花蓮機場擴建，須予改道案。,件,,臺灣省政府委員會議/首長會議/民國54年(1965)/會次0005,1965-06-28~1965-06-30,1965,1965-06-28,1965-06-30,,,,黃杰主席：第八案，蘇花公路防礙花蓮機場擴建，須予改道案。,,花蓮機場,,,,,
AHTWH-238-502000601,國史館臺灣文獻館典藏管理系統,AHTWH,,黃杰主席：臺南白河水庫訂七月廿四日上午舉行竣工典禮，中央銀行總裁徐柏園、經濟部長李國鼎、國際經合署駐華代表霍夫曼等均將參加此一盛典，預計專機於是日九時抵嘉義機場，中午在臺南飯店吃午餐，一切應妥為佈署。,件,,臺灣省政府委員會議/首長會議/民國54年(1965)/會次0006,1965-07-05~1965-07-31,1965,1965-07-05,1965-07-31,,,,黃杰主席：臺南白河水庫訂七月廿四日上午舉行竣工典禮，中央銀行總裁徐柏園、經濟部長李國鼎、國際經合署駐華代表霍夫曼等均將參加此一盛典，預計專機於是日九時抵嘉義機場，中午在臺南飯店吃午餐，一切應妥為佈署。,,嘉義機場,,,,,
AHTWH-238-502000608,國史館臺灣文獻館典藏管理系統,AHTWH,,黃杰主席：臺北市民權路市立殯儀館至飛機場道路應為42公尺寬，何以目下只有22公尺？,件,,臺灣省政府委員會議/首長會議/民國54年(1965)/會次0006,1965-07-05~1965-07-31,1965,1965-07-05,1965-07-31,,,,黃杰主席：臺北市民權路市立殯儀館至飛機場道路應為42公尺寬，何以目下只有22公尺？,,至飛機場,,,,,
AHTWH-238-502000826,國史館臺灣文獻館典藏管理系統,AHTWH,,黃杰主席：小港機場妨礙高雄港之發展，外貿會經濟部均反對，其原則仍應用舊案始為合理，但新案跑道已發包祇得暫准使用五年後搬家。,件,,臺灣省政府委員會議/首長會議/民國54年(1965)/會次0008,1965-07-26~1965-07-31,1965,1965-07-26,1965-07-31,,,,黃杰主席：小港機場妨礙高雄港之發展，外貿會經濟部均反對，其原則仍應用舊案始為合理，但新案跑道已發包祇得暫准使用五年後搬家。,,小港機場,,,,,
AHTWH-238-502001006,國史館臺灣文獻館典藏管理系統,AHTWH,,黃杰主席：小港機場問題，如擴大範圍須修改馬路為彎曲，似不可行米路必須垂直，已與中央協議不予擴大。,件,,臺灣省政府委員會議/首長會議/民國54年(1965)/會次0010,1965-08-09~1965-08-31,1965,1965-08-09,1965-08-31,,,,黃杰主席：小港機場問題，如擴大範圍須修改馬路為彎曲，似不可行米路必須垂直，已與中央協議不予擴大。,,小港機場,,,,,
AHTWH-238-502001013,國史館臺灣文獻館典藏管理系統,AHTWH,,交通處處長陳聲簧，花蓮機場案已獲協議，道路設計照公路局設計辦理。河防設計由水利局花蓮工程處負責，與島路有關者部份之堤防由公路局列預算與國防部各半負擔，與道路無直接關係者有二部份，其中一部份由省負單需60萬，另一部由縣視實際需要辦理。,件,,臺灣省政府委員會議/首長會議/民國54年(1965)/會次0010,1965-08-09~1965-08-31,1965,1965-08-09,1965-08-31,,,,交通處處長陳聲簧，花蓮機場案已獲協議，道路設計照公路局設計辦理。河防設計由水利局花蓮工程處負責，與島路有關者部份之堤防由公路局列預算與國防部各半負擔，與道路無直接關係者有二部份，其中一部份由省負單需60萬，另一部由縣視實際需要辦理。,,花蓮機場,,,,,
AHTWH-238-502001301,國史館臺灣文獻館典藏管理系統,AHTWH,,黃杰主席：八月廿三日待總統由水湳機場赴成功嶺途中曾報告青年育樂問題，奉指示：應為青年多籌設正常娛樂場所以鍛練青年身心。此一問題亦曾與農復會蔣彥士委員討論，承允諾農復會可補助部份經費。臺灣省陽明山、澄清湖、阿里山、梨山、金山等地均已闢有青年育樂場所，似可增強設備，以副總統之期許。希教育廳與青年救國團研究加強辦法，擬訂詳細辦法逐年實施，並請蔣彥士委員在經費方面多予支持。各地育樂場所之名稱似可考慮予以統一。,件,,臺灣省政府委員會議/首長會議/民國54年(1965)/會次0013,1965-09-06~1965-09-30,1965,1965-09-06,1965-09-30,,,,黃杰主席：八月廿三日待總統由水湳機場赴成功嶺途中曾報告青年育樂問題，奉指示：應為青年多籌設正常娛樂場所以鍛練青年身心。此一問題亦曾與農復會蔣彥士委員討論，承允諾農復會可補助部份經費。臺灣省陽明山、澄清湖、阿里山、梨山、金山等地均已闢有青年育樂場所，似可增強設備，以副總統之期許。希教育廳與青年救國團研究加強辦法，擬訂詳細辦法逐年實施，並請蔣彥士委員在經費方面多予支持。各地育樂場所之名稱似可考慮予以統一。,,水湳機場,,,,,
AHTWH-238-502001603,國史館臺灣文獻館典藏管理系統,AHTWH,,"黃杰主席：陸軍方面尚有三項問題待解決希有關單位注意：1、臺南市第八軍軍部與成功大學為鄰奉總統諭軍部擇地遷建現已覓定里港為第八軍建營房尚待總統作最後之核定；2、桃園地區營區接用自來水需經費1,件,,200萬元省方負擔半數，省府應支付200萬元應從速照撥；3;士官眷舍所需土地軍方指定臺北縣之墘捕段土地應從速解決。省府為解決臺北市違建房屋軍方將南機場土地撥用，自應以其他土地撥還軍方使用。",件,,臺灣省政府委員會議/首長會議/民國54年(1965)/會次0016,1967-01-23~1967-01-31,1967,1967-01-23,1967-01-31,,件,,"黃杰主席：一月十一日本人曾聽取臺中縣大雅路拓寬工程簡報，原則上已確定臺中市至水湳機場段拓寬路面為30公尺，水湳至公&#33304;機場段拓寬路面為17公尺，總工程費4,750萬元。此一工程總統極為關切，曾數度垂詢，必須及早興工辦理，增加工程費用亦希研究解決。",,,,,,臺灣省政府委員會議/首長會議/民國56年(1967)/會次0066,
AHTWH-238-502006903,國史館臺灣文獻館典藏管理系統,AHTWH,,黃杰主席：二月八日下午晉謁總統府秘書長張岳公，指示2點：1、中央與地方權責劃分案尚未呈報總統。2、原豎立於中正路之總統銅像省府建議移往松山國際機場噴水池側，經呈奉總統批示「松山機場切不可建立銅像勿違為要」。茲決定乃遷往中正路敦化路口，希建設廳即遵指示辦理。,件,,臺灣省政府委員會議/首長會議/民國56年(1967)/會次0069,1967-02-13~1967-02-28,1967,1967-02-13,1967-02-28,,,,黃杰主席：二月八日下午晉謁總統府秘書長張岳公，指示2點：1、中央與地方權責劃分案尚未呈報總統。2、原豎立於中正路之總統銅像省府建議移往松山國際機場噴水池側，經呈奉總統批示「松山機場切不可建立銅像勿違為要」。茲決定乃遷往中正路敦化路口，希建設廳即遵指示辦理。,,,,,,,
AHTWH-238-502007936,國史館臺灣文獻館典藏管理系統,AHTWH,,交通處長陳聲簧：第一架直升機由高雄卸船後，在未正式決定辦理飛行保險前，擬准由直升機隊逕飛水湳機場。以後正式飛行是否辦理投保手續，尚在協調研究中。,件,,臺灣省政府委員會議/首長會議/民國56年(1967)/會次0079,1967-05-22~1967-05-31,1967,1967-05-22,1967-05-31,,,,交通處長陳聲簧：第一架直升機由高雄卸船後，在未正式決定辦理飛行保險前，擬准由直升機隊逕飛水湳機場。以後正式飛行是否辦理投保手續，尚在協調研究中。,,水湳機場,,,,,
AHTWH-238-502008721,國史館臺灣文獻館典藏管理系統,AHTWH,,黃杰主席：報載日本政府已宣怖東京為昏睡病(日本腦炎)區，並謂日本患此病者已達700餘人，且已120餘人死亡。此一病症係由蚊蟲傳染者。我國與日本間交往最為頻繁，機場及港口應否採取防疫措施，希衛生處特加注意。,件,,臺灣省政府委員會議/首長會議/民國56年(1967)/會次0087,1967-08-21~1967-08-31,1967,1967-08-21,1967-08-31,,,,黃杰主席：報載日本政府已宣怖東京為昏睡病(日本腦炎)區，並謂日本患此病者已達700餘人，且已120餘人死亡。此一病症係由蚊蟲傳染者。我國與日本間交往最為頻繁，機場及港口應否採取防疫措施，希衛生處特加注意。,,繁，機場,,,,,
AHTWH-238-502009620,國史館臺灣文獻館典藏管理系統,AHTWH,,黃杰主席：臺灣日報連續刊載郭敏學所撰「環行非洲70日」一文，第31節對於CAT空中小姐對歐洲人之諂媚，松山機場關卡林立，對觀光旅客所感到不便，有舉世無雙之嘆，為發展觀光事業，自應切實檢討改進，希交通處、警務處注意。,件,,臺灣省政府委員會議/首長會議/民國56年(1967)/會次0096,1967-11-07~1967-11-30,1967,1967-11-07,1967-11-30,,,,黃杰主席：臺灣日報連續刊載郭敏學所撰「環行非洲70日」一文，第31節對於CAT空中小姐對歐洲人之諂媚，松山機場關卡林立，對觀光旅客所感到不便，有舉世無雙之嘆，為發展觀光事業，自應切實檢討改進，希交通處、警務處注意。,,松山機場,,,,,
AHTWH-238-502009723,國史館臺灣文獻館典藏管理系統,AHTWH,,黃杰主席：局國家安全局長周中峰電告：據悉臺東機場之跑道因係泥砂舖築而非水泥所建，颱風暴雨之後損毀已甚，中華航空公司班機基於飛行安全，勢將被迫停航。建議將跑道之修補工程，列為風災後復舊工程一部份，由公路局速派壓路機填平跑道之大坑小洞，以免中華航空公司停航。,件,,臺灣省政府委員會議/首長會議/民國56年(1967)/會次0097,1967-11-27~1967-11-30,1967,1967-11-27,1967-11-30,,,,黃杰主席：局國家安全局長周中峰電告：據悉臺東機場之跑道因係泥砂舖築而非水泥所建，颱風暴雨之後損毀已甚，中華航空公司班機基於飛行安全，勢將被迫停航。建議將跑道之修補工程，列為風災後復舊工程一部份，由公路局速派壓路機填平跑道之大坑小洞，以免中華航空公司停航。,,臺東機場,,,,,
